"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"SOP50P810X120-57N";1;"DRV8301DCAR";;;
2;"TP4,TP9,TP8,TP7,TP6,TP5,TP3,TP2";"TestPoint_Pad_D1.5mm";8;"TestPoint";;;
3;"J3";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"SM04B-SRSS-TB(LF)(SN)";;;
4;"J1";"JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal";1;"SM06B-SRSS-TB(LF)(SN)";;;
5;"HS3,HS2,HS1";"heatsink14x14x6";3;"Heatsink";;;
6;"J5";"USB_Micro-B_Molex_47346-0001";1;"0473460001";;;
7;"H2,H1";"MountingHole_2.2mm_M2_ISO7380_Pad";2;"MountingHole_Pad";;;
8;"C58,C10,C9,C8,C7";"CP_Elec_10x14.3";5;"150uF 63V poly";;;
9;"J10";"SolderWirePad_1x03_P7.62mm_Drill2.5mm";1;"MR30PW-M 15A (30A)";;;
10;"J2";"PinHeader_1x18_P2.54mm_Horizontal";1;"Conn_01x18";;;
11;"D2";"D_SOD-123F";1;"100V 2A SMB";;;
12;"L1";"L_Taiyo-Yuden_NR-60xx";1;"33uH 1.4A";;;
13;"U1";"SOT-23-8";1;"TCAN332GDCNT";;;
14;"SW2,SW1";"SW_SPST_B3U-1000P";2;"B3U-1000P-B";;;
15;"R38,R37,R36,R35,R34,R33,R18,R15";"R_0402_1005Metric";8;"2R2";;;
16;"R32,R29";"R_0402_1005Metric";2;"22R 1%";;;
17;"R31,R28,R23,R19,R17,R16,R5,R4,R3";"R_0402_1005Metric";9;"3.3k";;;
18;"R30";"R_0402_1005Metric";1;"47k 1%";;;
19;"R27,R26,R25,R11,TH2,TH1,R13";"R_0402_1005Metric";7;"10k";;;
20;"R24,R22";"R_0402_1005Metric";2;"18k";;;
21;"R21,R14";"R_0402_1005Metric";2;"1k";;;
22;"R20";"R_0402_1005Metric";1;"220k 1%";;;
23;"R12,R40,R39";"R_0402_1005Metric";3;"120R";;;
24;"R10,R9";"R_0402_1005Metric";2;"22R";;;
25;"R8,R7,R6,R2,R1";"R_0402_1005Metric";5;"0R";;;
26;"C53";"C_0402_1005Metric";1;"1uF";;;
27;"C52,C51,C50,C48,C47,C6,C49,C16";"C_0402_1005Metric";8;"100nF";;;
28;"C5,C4,C3,C2,C1,C38";"C_0402_1005Metric";6;"82pF";;;
29;"Y1";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm";1;"8MHz";;;
30;"U5";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
31;"U3";"WSON-8_4x4mm_P0.8mm";1;"LM5109BSD";;;
32;"U2";"SOT-23-5";1;"TLV75733PDBV";;;
33;"R42,R41";"R_2512_6332Metric";2;"500uOhm 6W 1%";;;
34;"Q8,Q7,Q6,Q5,Q4,Q3,Q2,Q1";"TDSON-8-1";8;"CSD18540Q5B";;;
35;"NT4,NT3,NT2,NT1";"NetTie-2_SMD_Pad0.5mm";4;"Net-Tie_2";;;
36;"J9,J8";"AMASS_XT60-M_1x02_P7.20mm_Vertical";2;"XT60";;;
37;"J6";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC2030 Tag-connect";;;
38;"D1";"D_SOD-123F";1;"MBR140SFT1G";;;
39;"C57,C56";"C_0402_1005Metric";2;"12pF";;;
40;"C55,C54";"C_0402_1005Metric";2;"2.2uF";;;
41;"C46,C45";"C_0402_1005Metric";2;"2200PF";;;
42;"C44,C43,C42";"C_1210_3225Metric";3;"2.2uF 100V";;;
43;"C41,C37";"C_0402_1005Metric";2;"2200pF";;;
44;"C40";"C_0402_1005Metric";1;"15nF";;;
45;"C39,C14";"C_0402_1005Metric";2;"270pF";;;
46;"C36,C23,C22";"C_0402_1005Metric";3;"1uF 25V";;;
47;"C35,C34";"C_1210_3225Metric";2;"47uF 16V";;;
48;"C33,C20";"C_0402_1005Metric";2;"2.2uF 16V";;;
49;"C32,C31,C29,C28";"C_0402_1005Metric";4;"0.1uF 50V";;;
50;"C30";"C_0402_1005Metric";1;"0.022uF 50V";;;
51;"C27,C25";"C_1210_3225Metric";2;"4.7uF 100V";;;
52;"C26,C24,C13";"C_0402_1005Metric";3;"0.1uF 100V";;;
53;"C21,C15";"C_0402_1005Metric";2;"2.2uF 25V";;;
54;"C19";"C_0402_1005Metric";1;"0.1uF 25V";;;
55;"C18,C17";"C_0402_1005Metric";2;"1uF 10V";;;
56;"C12,C11";"C_1210_3225Metric";2;"10uF 63V ";;;
